Position,X [m],Y [m],X [inches],Y [inches],PAR @ 12”,PAR @ 18”,PAR @ 24”,,
"0m,0m",0,0,0,0,22,37,50,,
"0.5m,0m",0.5,0,19.685,0,70,113,100,,
"1m,0m",1,0,39.37,0,20,47,55,,
"1m,0.5m",1,0.5,39.37,19.685,60,115,110,,
"1m,1m",1,1,39.37,39.37,19,41,53,,
"0.5m,1m",0.5,1,19.685,39.37,61,84,96,,
"0m,1m",0,1,0,39.37,20,31,42,,
"0,0.5m",0,0.5,0,19.685,63,85,90,,
"0”,0”",0,0,0,0,140,130,124,,
"12”,0”",0.304800609601219,0,12,0,320,240,195,,
"24”,0”",0.609601219202438,0,24,0,130,157,156,,
"24”,12”",0.609601219202438,0.304800609601219,24,12,380,299,208,,
"24”,24”",0.609601219202438,0.609601219202438,24,24,130,140,140,,
"12”,24”",0.304800609601219,0.609601219202438,12,24,225,220,175,,
"0”,24”",0,0.609601219202438,0,24,100,140,110,,
"0”,12”",0,0.304800609601219,0,12,265,230,171,,
"6”,6”",0.15240030480061,0.15240030480061,6,6,520,282,210,,
"18”,6”",0.457200914401829,0.15240030480061,18,6,700,340,250,,
"18”,18”",0.457200914401829,0.457200914401829,18,18,480,385,228,,
"6”,18”",0.15240030480061,0.457200914401829,6,18,460,330,214,,
"12”,12”",0.304800609601219,0.304800609601219,12,12,1170,513,285,,
